Skill,Mandatory hands-on,,Additional important hands-on,
,Filename,Name,Filename,Name
Design principles & Patterns,Design Patterns and Principles,Exercise 1: Implementing the Singleton Pattern,,
Design principles & Patterns,Design Patterns and Principles,Exercise 2: Implementing the Factory Method Pattern,,
Data structures and Algorithms,Algorithms_Data Structures,Exercise 2: E-commerce Platform Search Function,,
Data structures and Algorithms,Algorithms_Data Structures,Exercise 7: Financial Forecasting,,
PL/SQL programming,PLSQL_Exercises,Exercise 1: Control Structures,,
PL/SQL programming,PLSQL_Exercises,Exercise 3: Stored Procedures,,
TDD using JUnit5 and Mockito,1. JUnit_Basic Testing Exercises,Exercise 1: Setting Up JUnit,,
TDD using JUnit5 and Mockito,1. JUnit_Basic Testing Exercises,Exercise 3: Assertions in JUnit,,
TDD using JUnit5 and Mockito,1. JUnit_Basic Testing Exercises,Exercise 4: Arrange-Act-Assert (AAA) Pattern, Test Fixtures, Setup and,,
,,Teardown Methods in JUnit,,
TDD using JUnit5 and Mockito,3. Mockito exercises,Exercise 1: Mocking and Stubbing,,
TDD using JUnit5 and Mockito,3. Mockito exercises,Exercise 2: Verifying Interactions,,
SLF4J logging framework,6. SL4J Logging exercises,Exercise 1: Logging Error Messages and Warning Levels,,
Spring Core and Maven,Spring Core_Maven,Exercise 1: Configuring a Basic Spring Application,,Exercise 5: Configuring the Spring IoC Container
Spring Core and Maven,Spring Core_Maven,Exercise 2: Implementing Dependency Injection,,Exercise 7: Implementing Constructor and Setter Injection
Spring Core and Maven,Spring Core_Maven,Exercise 4: Creating and Configuring a Maven Project,,Exercise 9: Creating a Spring Boot Application
Spring Data JPA with Spring Boot, Hibernate,1. spring-data-jpa-handson,Spring Data JPA - Quick Example,1. spring-data-jpa-handson,Implement services for managing Country
Spring Data JPA with Spring Boot, Hibernate,1. spring-data-jpa-handson,Difference between JPA, Hibernate and Spring Data JPA,1. spring-data-jpa-handson,Find a country based on country code
Spring Data JPA with Spring Boot, Hibernate,,,1. spring-data-jpa-handson,Add a new country
Spring Data JPA with Spring Boot, Hibernate,,,2. spring-data-jpa-handson,Demonstrate implementation of Query Methods feature of Spring Data JPA
Spring Data JPA with Spring Boot, Hibernate,,,2. spring-data-jpa-handson,Demonstrate implementation of O/R Mapping
Spring Data JPA with Spring Boot, Hibernate,,,3. spring-data-jpa-handson,Demonstrate writing Hibernate Query Language and Native Query
Spring REST using Spring Boot 3,1. spring-rest-handson,Create a Spring Web Project using Maven,3. spring-rest-handson,All hands-on
Spring REST using Spring Boot 3,1. spring-rest-handson,Spring Core – Load Country from Spring Configuration XML,,
Spring REST using Spring Boot 3,2. spring-rest-handson,Hello World RESTful Web Service,,
Spring REST using Spring Boot 3,2. spring-rest-handson,REST - Country Web Service,,
Spring REST using Spring Boot 3,2. spring-rest-handson,REST - Get country based on country code,,
Spring REST using Spring Boot 3,5. JWT-handson,Create authentication service that returns JWT,,
Microservices with Spring Boot 3 and Spring Cloud,2. Microservices with API gateway,Creating Microservices for account and loan,2. Microservices with API gateway,Create Eureka Discovery Server and register
,,,,microservices
React,1. ReactJS-HOL,Hands-on in this document,6. ReactJS-HOL,Hands-on in this document
React,2. ReactJS-HOL,Hands-on in this document,7. ReactJS-HOL,Hands-on in this document
React,3. ReactJS-HOL,Hands-on in this document,8. ReactJS-HOL,Hands-on in this document
React,4. ReactJS-HOL,Hands-on in this document,,
React,5. ReactJS-HOL,Hands-on in this document,,
React,9. ReactJS-HOL,Hands-on in this document,13. ReactJS-HOL,Hands-on in this document
React,10. ReactJS-HOL,Hands-on in this document,14. ReactJS-HOL,Hands-on in this document
React,11. ReactJS-HOL,Hands-on in this document,15. ReactJS-HOL,Hands-on in this document
React,12. ReactJS-HOL,Hands-on in this document,16. ReactJS-HOL,Hands-on in this document
React,13. ReactJS-HOL,Hands-on in this document,17. ReactJS-HOL,Hands-on in this document
GIT,1. Git-HOL,Hands-on in this document,,
GIT,2. Git-HOL,Hands-on in this document,,
GIT,3. Git-HOL,Hands-on in this document,,
GIT,4. Git-HOL,Hands-on in this document,,
GIT,5. Git-HOL,Hands-on in this document,,
Angular,Angular Hands-on,Hands-on in this document,,